Item code,Item Description,UOM,Bin Location,
0010-19-51X-7,Trelegy Ellipta 100/62.5/25mcg 30D,EA,7D-1-872,
0008-52-211-C,LevoFLOXacin 0.5% Eye Drop 5mL (Cravit),EA,7D-1-873,
0010-10-125-C,Leuprorelin Depot 30mg Inj (Lucrin),EA,7D-1-874,
0019-72-001-I,Lidocaine HCl 10% Spray 50mL,EA,7D-1-875,
0007-52-015-J,Oxymetazoline 0.025% Nasal Drop (10mL/15mL),EA,7D-1-876,
0008-52-144-C,Aciclovir 3% Eye Ointment 4.5g,EA,7E-1-887,
0004-86-029-F,Mirabegron 50mg Tablet,EA,7E-1-888,
0008-52-257-F,Ciprofloxacin 0.3% Eye/Ear Drop 5mL,EA,7E-1-889,
0008-52-089-G,Tetracaine 1% P/F Eye Drop 0.5mL (Amethocaine),EA,7E-1-890,
0001-68-024-D,Seretide 25/50mcg Evohaler 120D,EA,7E-1-891,
0008-52-024-W,Sodium Cromoglicate 2% Eye Drop 10mL,EA,7E-2-892,
6967-02-27X-3,HYDrocortisone ACEP 0.127% LIPO Cream 30g,EA,7E-2-893,
0008-52-057-I,Naphcon-A Eye Drop 15mL,EA,7E-2-894,
0005-84-400-C,HYDrocortisone 1% Ointment 15g,EA,7E-2-895,
0008-52-122-W,Dexamethasone 0.1% Eye Ointment 3.5g (Maxidex),EA,7E-2-896,
0008-52-105-W,Vidisic Eye Gel 10g,EA,7E-2-897,
0000-74-86X-4,Olopatadine 0.1% Eye Drop 5mL (Patanol),EA,7E-3-898,
0008-52-022-F,Gentamicin Sulfate 0.3% Eye/Ear Drop 5mL,EA,7E-3-899,
0007-52-041-I,Polydexa Ear Drop 10.5mL,EA,7E-3-901,
0020-28-008-F,Paracetamol 125mg Suppository,EA,7E-3-902,
0001-68-014-G,Fluticasone 125mcg Evohaler 120D,EA,7E-3-903,
0005-84-155-W,"Coal Tar 5%, Aqueous Cream 30g",EA,7E-4-904,
0008-52-128-L,Fusidic Acid 1%  Eye Drop 5g (Fucithalmic),EA,7E-4-905,
0007-52-019-W,Oxymetazoline 0.01% Nasal Drop 5mL (Iliadin),EA,7E-4-906,
0002-96-57X-2,"Calcipotriol, Betamethasone Gel 60g",EA,7E-4-907,
0008-52-042-K,Pilocarpine HCl 2% Eye Drop 15mL,EA,7E-4-908,
0008-52-224-E,Chlortetracycline 1% Eye Ointment 3.5g,EA,7E-4-909,
0015-56-021-L,Magnesium Trisilicate Mixture BP 200mL,BTL,7E-5-910 to 911,
0005-84-116-L,Betamethasone Valerate 0.1% Ointment 15g,EA,7E-5-912,
0013-84-055-L,Salicylic Acid Corn Colloidon (10mL/15mL),EA,7E-5-913,
0020-56-015-L,Sodium Phosphate Enema Adult 133mL (Fleet),EA,7E-5-914 to 915,
0005-84-141-W,Lidocaine 5% Patch,EA,7E-6-916 to 917,
0015-99-009-W,Macrogol 4000 Oral Powder 10g (Forlax),EA,7E-6-918 to 919,
0005-84-124-W,Urea 10% Cream 100g,EA,7E-6-920 to 921,
0004-56-103-C,Bismuth Subcitrate 120mg Tab,EA,7F-1-928,
0005-84-240-K,"Isoconazole 1%, Diflucortilone 0.1% Cream 10G (Travocort)",EA,7F-1-929,
0008-52-061-G,Fluorometholone 0.1% Eye Drop 5mL,EA,7F-1-930,
0004-04-061-I,Bilastine 20mg Tab,EA,7F-1-931,
0008-52-014-E,Betamethasone 0.1% Eye/Ear/Nose Drop (5mL/10mL),EA,7F-1-932,
0008-52-048-J,Sodium Chloride 0.9% Eye Drop 10mL,EA,7F-1-933,
0008-52-108-G,"TobraMYCIN, Dexamethasone Eye Drop 5mL (TobraDEX)",EA,7F-2-934,
0008-52-157-E,Ketorolac 0.5% Eye Drop 5mL,BTL,7F-2-935,
0008-52-086-W,Duratears Eye Ointment 3.5g,EA,7F-2-936,
0008-52-202-D,Homatropine 2% Eye Drop 15mL,EA,7F-2-937,
0005-84-341-E,"Fusidic 2%, Betamethasone Diprop 0.064% Cr 15g",EA,7F-2-938,
0005-84-100-E,Clobetasol Propionate 0.05% Ointment 15g,EA,7F-2-939,
0000-11-29X-4,Sod Polystyrene Sulfonate Susp 60mL,BTL,7F-3-940 to 945,
0008-52-070-F,Timolol Maleate 0.5% Eye Drop 5mL,EA,7F-4-946,
0005-84-373-E,Betamethasone Dipropionate 0.05% Ointment,EA,7F-4-947,
0000-28-53X-2,Paracetamol 250mg Suppository,EA,7F-4-948,
0004-24-383-K,Telmisartan 80mg Tablet,EA,7F-4-949,
0001-12-048-H,Ipratropium Bromide 20mcg Inhaler,EA,7F-4-950,
0000-50-45X-9,CLINDAMYCIN 1% LOTION 30ML,BTL,7F-4-951,
0010-28-038-E,Magnesium Sulfate 49.3% Injection 5mL,EA,7F-5-952 to 953,
0004-92-107-L,Glucosamine Sulfate (Cryst) 500mg Capsule,EA,7F-5-954 to 955,
0015-08-017-L,"Nystatin 100,000 U/mL Suspension 100mL",BTL,7F-5-956 to 957,
0005-12-002-W,Nicotine 14mg/24Hr Patch (NICOTINELL) 7S,EA,7F-6-958,
0707-00-021-R,Sn Secura Extra Protective Cr 92g,TBE,7F-6-959,
0020-84-016-W,Proctosedyl Ointment 15g,EA,7F-6-960,
0715-00-060-R,3M Cavilon Spray 3346E 28mL,BTL,7F-6-961,
0707-00-001-R,Ego Qv Cream 100G,TBE,7F-6-962,
0004-10-011-G,Methotrexate 2.5mg Tablet,EA,7G-1-970,
0000-34-37X-3,ValGANciclovir 450MG Tablet,EA,7G-1-971,
0004-92-014-I,AzaTHIOprine 50mg Tablet,EA,7G-1-972,
0004-10-043-E,HydroxyCARBAmide 500mg Capsule (Hydrine),EA,7G-1-973,
0004-10-119-H,Nintedanib 150mg Capsule (OFEV),EA,7G-1-974,
0003-95-85X-8,Abiraterone Acetate 250mg Tab (Abiranat),EA,7G-2-976,
0010-28-049-K,ZUClopentixol Decanoate 200mg/mL Injection,EA,7G-2-977,
