Item code,Item Description,UOM,Bin Location,
0010-08-145-E,Fluconazole 100mg/50mL Injection,EA,8F-6-1225 to 1226,
0010-08-168-K,CefePIME HCl 2g Injection,EA,8F-6-1227 to 1228,
0010-08-032-G,Penicillin Crystalline Sodium 5MU Injection,EA,8F-6-1229 to 1330,
0009-40-039-I,"Dextrose 5%, NaCL 0.45% Infusion 500mL",EA,8F-7-1231 to 1232,
0010-40-051-W,Water For Injection 500mL,EA,8F-7-1233 to 1234,
2512-93-80X-0,Potassium Chl 20mmol/1L In D5/NS0.9%,EA,8F-7-1235 to 1236,
0010-20-088-H,"Heparin Sodium 5,000 U/mL Injection",EA,8G-1-1237,
0010-86-001-W,Aminophylline 250mg/10mL Injection,EA,8G-1-1238,
0010-28-033-D,Diclofenac Sodium 75mg/3mL Injection,EA,8G-1-1239,
0010-72-031-H,ROPivacaine HCl 1% Injection 10mL (Naropin),EA,8G-1-1240,
0006-91-49X-5,Inclisiran 284mg/1.5Ml Pf Syringe (Leqvio),EA,8G-1-1241,
0010-68-030-H,Progesterone 50mg/mL Injection,EA,8G-1-1242,
0010-24-024-C,Papaverine HCl 120mg/10mL Injection,EA,8G-2-1243,
0010-28-017-W,Naloxone 400mcg/mL Injection,EA,8G-2-1244,
0010-24-073-G,Amiodarone HCl 150mg/3mL Injection,EA,8G-2-1245 to 1246,
0003-97-49X-8,Parecoxib 40mg Injection,EA,8G-2-1247 to 1248,
0010-28-080-F,Phenobarbital 200mg/mL Injection,EA,8G-3-1249,
0010-40-023-W,Calcium Chloride 10% Injection 10mL,EA,8G-3-1250,
0035-34-09X-6,Hyaluronic Acid 88mg Triamcinolone 18mg/4ml Inj (Cingal),EA,8G-3-1251,
0010-08-025-D,MetroNIDAzole 500mg Injection 100mL,EA,8G-3-1252,
0010-20-035-G,Tissue Plasminogen Activator (Alteplase) 50mg Inj,EA,8G-3-1253 ,
0010-12-012-D,Hyoscine N-Butylbromide 20mg/mL Injection,EA,8G-3-1254,
0010-08-113-G,CefoXITin Sodium 1g Injection,EA,8G-4-1255,
0003-97-69X-6,Sugammadex 200mg/2mL Injection ,EA,8G-4-1256,
0010-28-028-H,Phenytoin Sodium 250mg Injection,EA,8G-4-1257,
0010-20-011-J,Tranexamic Acid 500mg/5mL Injection,EA,8G-4-1258 to 1259,
0010-12-001-I,"EpiNEPHrine 1:1,000 (1mg/mL) Injection",EA,8G-4-1260,
0010-20-027-F,Enoxaparin Sodium 40mg/0.4mL Injection (Clexane),EA,8G-5-1261 to 1262,
0000-38-98X-7,LevoFLOXacin 250mg/50mL Injection,EA,8G-5-1263 to 1266,
0009-40-030-E,Sodium Chloride 3% Injection 500mL,EA,8G-7-1273 to 1274,
0010-64-007-F,Sod Thiosulfate 25% Inj 100ml,EA,8G-7-1275 to 1276,
0009-40-016-J,Dextrose 10% Infusion 500mL,EA,8G-7-1277 to 1278,
0010-68-045-F,Actrapid HM 1000 IU/10mL Injection,EA,FA-1-1,
0008-32-57X-3,Probiotic 112.5 Billion Capsule,EA,FA-2-3,
0010-80-010-I,Botulinum 100 IU Injection (Botox),EA,FA-3-4,
0010-68-128-W,NovoRAPID FLEXPEN 300 IU/3mL Injection,EA,FA-3-5,
0010-68-046-D,CalciTONin 100 IU/mL Injection,EA,FA-3-6,
0010-08-018-L,Amphotericin B 50mg Injection,EA,FA-3-7,
0008-52-016-L,Chloramphenicol 0.5% Eye Drop (5mL/10mL),EA,FA-4-08,
0042-49-79X-1,Semaglutide (OZEMPIC) 4mg/3mL PF Pen,EA,FA-4-09,
0010-80-030-C,Varicella-Zoster Vaccine (Varilix),EA,FA-4-10,
1599-93-20X-5,Pneumococcal 0.5ML Vaccine (PREVENAR 20),EA,FA-4-11,
0010-80-004-D,Anti-D (RHO) Immunogl 300mcg/dose Inj,EA,FB-1-12,
0004-68-010-E,FLUdrocortisone Acetate 0.1mg Tablet,EA,FB-1-13,
0010-68-099-E,Mixtard 30 Hm 1000 IU/10mL Injection,EA,FB-2-14,
0000-86-22X-9,Tetracosactide 0.25mg/mL Injection,EA,FB-2-15,
3353-98-37X-6,Dulaglutide 0.75mg/0.5mL PF Pen,EA,FB-2-16,
0001-84-95X-7,Humalog Mix25 300IU/3mL Kwikpen,EA,FB-2-17,
0010-80-006-K,Tetanus Immunoglobulin 250 U Injection,EA,FB-3-18,
2207-30-27X-1,Soliqua 100/33 Solostar,EA,FB-3-19,
5488-79-96X-6,Influenza 0.5mL Vaccine (VAXIGRIP TRIVALENT),EA,FB-3-20,
0010-20-127-K,Filgrastim 30MU/0.5mL Injection,EA,FB-3-21,
0010-20-103-F,Eptifibatide 75mg/100ml Inj,EA,FB-4-22,
0010-80-100-C,Boostrix Injection 0.5mL,EA,FB-4-23,
0010-80-129-C,Meningococcal ACWY Conjugated Vaccine (Menactra),EA,FB-4-24,
0010-20-134-W,Tissue Plasminogen Activator (Alteplase) 2MG INJ,EA,FB-4-25,
0008-52-094-C,Latanoprost 0.005% Eye Drop 2.5mL (Xalatan),EA,FC-1-26,
0010-68-172-J,Insulin GLARgine 300 IU/3mL SOLOSTAR  (Lantus),EA,FC-1-27,
0010-20-044-F,"Erythropoietin Beta 4,000 IU (Recormon)",EA,FC-2-28,
0010-12-022-L,SUXAmethonium Chloride 100mg/2mL Injection,EA,FC-3-29,
0010-68-118-E,Insulatard HM 1000 IU/10mL Injection,EA,FC-3-30,
0027-56-68X-4,RITUximab 100mg/10ml Inj (Truxima),EA,FC-3-31,
0010-68-161-L,Insulin Detemir FLEXPEN 300 IU/3mL Injection,EA,FC-3-32,
0005-84-376-W,Tri-Luma Cream 15g,EA,FC-4-33,
4550-20-97X-2,Liraglutide 6mg/mL Inj (Saxenda),EA,FC-4-34,
0010-80-013-C,Anti Rabies Freeze Dried Vaccine 1mL,EA,FC-4-35,
0010-20-115-C,Erythropoietin Beta Peg 50mcg/0.3mL Inj,EA,FC-4-36,
0010-80-127-E,Pneumococcal 13-VALENT Vaccine 0.5mL (PREVENAR 13),EA,FD-1-37,
0010-92-156-K,Denosumab 60mg/mL Prefilled Syringe (Prolia),EA,FD-1-38,
1730-85-92X-4,TETANUS & DIPHTHERIA VACCINE (ADULT) (IMOVAX dT),EA,FD-2-40,
0010-68-125-H,NovoMIX 30 FLEXPEN 300 IU/3mL Injection,EA,FD-2-41,
0007-68-007-F,CalciTONin 200 IU Nasal Spray 14D,EA,FD-2-42,
0010-80-023-K,Hepatitis B Immunoglobulin 5mL,EA,FD-3-43,
0020-66-99X-1,Eravacycline 50mg Inj,EA,FD-3-44,
0035-15-46X-2,"Cinchocaine 5mg, Hydrocortisone 5mg Suppository",EA,FD-3-45,
0000-40-45X-7,Alfacalcidol 1mcg/0.5ml Inj,EA,FD-3-46,
0022-10-02X-8,Famotidine 20mg Inj,EA,FD-4-47,
0010-20-138-I,Darbepoietin Alfa 40mcg/0.5mL Injection,EA,FD-4-48,
0008-29-57X-9,Adalimumab 40mg/0.8ml Autoinj (Amgevita),EA,FD-4-49,
0042-50-51X-9,Semaglutide 2mg/1.5ml PF Pen  (OZEMPIC) ,EA,FE-1-51,
0010-08-154-E,Anidulafungin 100mg Inj (ERAXIS),EA,FE-1-52,
0008-61-85X-6,Secukinumab 300mg/2mL PF Pen (COSENTYX),EA,FE-1-53,
0010-68-104-E,Desmopressin Acetate 4mcg/mL Injection (Minirin),EA,FE-2-54,
0010-80-061-C,Haemophilus B Conjugated Vaccine 0.5mL (Hiberix),EA,FE-2-55,
0010-92-145-W,Tocilizumab 400mg/20mL Injection (Actemra),EA,FE-2-56,
1121-58-79X-7,Dupilumab 300mg/2mL PF Syr (Dupixent),EA,FE-3-58,
0005-84-402-L,Clindoxyl Gel 15g,EA,FE-3-59,
0010-68-008-L,Glucagon 1mg Injection,EA,FE-3-60,
0010-80-090-F,Varicella-Zoster IV Immunoglobulin 125 U/5mL Inj,EA,FE-4-61,
0015-14-27X-3,Anti Rabies Immunoglobulin 300iu/ml Inj,EA,FE-4-63,
0010-80-027-C,Pneumococcal 23-VALENT Vaccine 0.5mL (PNEUMOVAX 23),EA,FE-4-64,
0010-12-044-W,ATRAcurium Besylate 50mg/5mL Injection,EA,FF-1-65,
0010-68-027-H,Vasopressin 20 IU Injection 1mL,EA,FF-1-66,
0010-92-131-G,Octreotide 0.1mg/mL Injection (Sandostatin),EA,FF-2-67,
0010-68-174-H,Insulin GLULIsine 300 IU/3mL SOLOSTAR (Apidra),EA,FF-2-68,
0001-48-015-E,Dornase Alfa 2500U/2.5mL (Pulmozyme),EA,FF-2-69,
0010-80-136-E,Botulinum 50 IU Injection (Botox),EA,FF-2-70,
5846-26-38X-7,Dulaglutide 1.5mg/0.5mL Pen (TRULICITY),EA,FF-2-71,
6900-92-50X-3,Soliqua 100/50 Solostar,EA,FF-3-72,
0007-84-13X-9,Ryzodeg 300IU/3mL Flextouch,EA,FF-3-73,
0015-68-002-K,Lugol's Iodine Mixture 100mL,BTL,FF-3-74,
0010-28-070-I,LoRAzepam 4mg/mL Inj (Ativan),EA,FF-4-75,
1345-22-13X-6,Ixekizumab 80mg/mL Prefilled Pen (Talz),EA,FF-4-76,
0010-92-144-C,Tocilizumab 80mg/4mL Injection (Actemra),EA,FF-4-77,
0010-76-009-C,Oxytocin 10 IU Inj (Syntocinon),EA,FG-1-79,
0010-44-008-G,Rasburicase 1.5mg/mL Inj (Fasturtec),EA,FG-1-80,
0010-20-136-K,Darbepoietin Alfa 120mcg/0.5mL Injection,EA,FG-1-81,
0002-74-36X-2,Teriparatide 600mcg/2.4mL Injection ,EA,FG-2-82,
0004-72-60X-0,RITUximab 500mg/50ml Inj (Truxima),EA,FG-2-83,
0010-20-117-L,Erythropoietin Beta Peg 100mcg/0.3mL Injection,EA,FG-2-84,
0010-12-015-I,Isoprenaline HCl 0.2mg/mL Injection,EA,FG-3-85,
0010-20-102-G,Eptifibatide 20mg/10mL Injection,EA,FG-3-86,
0010-80-059-L,Hepatitis B 20mcg/mL Vaccine (Engerix),EA,FG-4-87,
8638-98-63X-1,Infliximab 100mg Injection (Remsima),EA,FG-4-88,
9219-99-52X-6,Evolocumab 140mg/mL Auto-Inj (Repatha),EA,FG-4-90,
0010-68-147-I,Terlipressin 1mg/8.5mL Injection (Glypressin),EA,FG-4-91,
6472-97-50X-6,Levosimendan 12.5mg/5ml Injection,EA,FG-4-92,
0004-28-038-G,Paracetamol 500mg Tablet,EA,MS-1A-2-2004 to 2019,
0010-08-167-L,Meropenem 500mg Injection,EA,MS-1B-2-2024 to 2025,
0004-56-034-G,OMEprazole 20mg Capsule,EA,MS-1B-3-2028 to 2031,
0010-08-073-D,Cloxacillin Sodium 500mg Injection,EA,MS-1B-4-2034 to 2035,
0004-20-017-K,Ferrous Gluconate Co Capsule,EA,MS-1C-3-2048 to 2051,
0004-88-053-G,Vitamin D3 1000 IU Tablet,EA,MS-1C-4-2052 to 2055,
0009-40-013-E,Dextrose 5% Infusion 500mL,EA,MS-1C-5-2056 to 2057,
0009-40-116-C,Smofkabiven with Electrolyte 1.5L,EA,MS-1C-5-2058 to 2059,
0010-40-054-J,Potassium Chloride 10mmol/500mL in NS Infusion,EA,MS-1D-1-2060 to 2061,
0004-68-059-H,MetFORMIN HCl 500mg Tablet,EA,MS-1D-2-2064 to 2067,
0004-40-007-W,Potassium Chloride SR 600mg Tablet,EA,MS-1D-3-2068 to 2071,
0004-92-185-F,Acetylcysteine 600mg Effervescent Tablet,TAB,MS-1D-4-2072 to 2075,
0005-84-102-L,Heparinoid 0.3% Cream 14g (Hirudoid),EA,MS-1E-2080 to 2083,
0004-40-025-K,Sodium Bicarbonate 500mg Capsule,EA,MS-1E-2-2084 to 2087,
0004-40-001-C,"Calcium 450mg, Vitamin D 200 U Tablet",EA,MS-1E-3-2088 to 2091,
0010-40-067-F,Potassium Chl 20mmol/1L In D5/NS0.45%,EA,MS-1E-4-2094 to 2095,
0010-56-002-G,MetoCLOPramide 10mg/2mL Injection,EA,MS-2A-2-3005 to 3006,
0010-68-009-J,HYDrocortisone Sodium Succinate 100mg Injection,EA,MS-2A-2-3007 to 3008,
0010-56-023-G,Ondansetron HCl 4mg/2mL Injection,EA,MS-2A-3-3009 to 3012,
0010-24-082-G,Glyceryl Trinitrate 10mg/10mL Injection,EA,MS-2A-4-3013 to 3014,
0010-28-115-F,TraMADol HCl 50mg/mL Injection,EA,MS-2A-4-3015 to 3016,
0010-72-009-L,Lidocaine HCl 1% P/F Injection 5mL,EA,MS-2B-2-3025 to 3026,
0010-20-003-I,Heparinised Saline 50 U/5mL Injection,EA,MS-2B-3-3029 to 3032,
0010-40-004-F,Furosemide 20mg/2mL Injection,EA,MS-2B-4-3033 to 3036,
0010-24-033-W,Labetalol HCl 25mg/5mL Inj (Trandate),EA,MS-2C-3-3049 to 3050,
0010-12-013-W,DOPamine 200mg/5mL Injection,EA,MS-2C-3-3051 to 3052,
0010-40-021-F,Dextrose 50% Injection (20mL/25mL),EA,MS-2C-4-3053 to 3054,
0010-40-008-I,Potassium Chloride 7.45% Injection (10mL/25mL),EA,MS-2C-4-3055 to 3056,
0010-40-011-I,Sodium Bicarbonate 8.4% Injection (10mL/20mL),EA,MS-2D-2-3065 to 3068,
0010-20-026-H,Enoxaparin Sodium 20mg/0.2mL Injection (Clexane),EA,MS-2D-3-3069 to 3070,
0009-40-026-G,Sodium Chloride 0.45% Infusion 500mL,EA,MS-2D-3-3071 to 3072,
0009-40-020-H,Compound Sodium Lactate Infusion 500mL,EA,MS-2D-4-3073 TO 3074,
0010-28-061-J,Propofol 500mg/50mL Injection,EA,MS-2E-2-3085 to 3088,
0009-40-111-H,Plasmalyte-A Infusion 1000mL,EA,MS-2E-3-3089 to 3092,
